"query_id","query_name","row_number","result_json"
8,"Revenue Growth vs Customer Activity",8,"{""month"": ""2017-07-01T00:00:00"", ""revenue"": 566403.93, ""active_customers"": 3802, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",9,"{""month"": ""2017-08-01T00:00:00"", ""revenue"": 646000.61, ""active_customers"": 4114, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",10,"{""month"": ""2017-09-01T00:00:00"", ""revenue"": 701169.99, ""active_customers"": 4083, ""business_pattern"": ""Revenue Up / Customers Down""}"
8,"Revenue Growth vs Customer Activity",11,"{""month"": ""2017-10-01T00:00:00"", ""revenue"": 751140.27, ""active_customers"": 4417, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",12,"{""month"": ""2017-11-01T00:00:00"", ""revenue"": 1153528.05, ""active_customers"": 7183, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",13,"{""month"": ""2017-12-01T00:00:00"", ""revenue"": 843199.17, ""active_customers"": 5450, ""business_pattern"": ""Revenue Down / Customers Down""}"
8,"Revenue Growth vs Customer Activity",14,"{""month"": ""2018-01-01T00:00:00"", ""revenue"": 1078606.86, ""active_customers"": 6974, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",15,"{""month"": ""2018-02-01T00:00:00"", ""revenue"": 966510.88, ""active_customers"": 6400, ""business_pattern"": ""Revenue Down / Customers Down""}"
8,"Revenue Growth vs Customer Activity",16,"{""month"": ""2018-03-01T00:00:00"", ""revenue"": 1120678.00, ""active_customers"": 6914, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",17,"{""month"": ""2018-04-01T00:00:00"", ""revenue"": 1132933.95, ""active_customers"": 6744, ""business_pattern"": ""Revenue Up / Customers Down""}"
8,"Revenue Growth vs Customer Activity",18,"{""month"": ""2018-05-01T00:00:00"", ""revenue"": 1128836.69, ""active_customers"": 6693, ""business_pattern"": ""Revenue Down / Customers Down""}"
8,"Revenue Growth vs Customer Activity",19,"{""month"": ""2018-06-01T00:00:00"", ""revenue"": 1012090.68, ""active_customers"": 6061, ""business_pattern"": ""Revenue Down / Customers Down""}"
8,"Revenue Growth vs Customer Activity",20,"{""month"": ""2018-07-01T00:00:00"", ""revenue"": 1027903.86, ""active_customers"": 6100, ""business_pattern"": ""Revenue Up / Customers Up""}"
8,"Revenue Growth vs Customer Activity",21,"{""month"": ""2018-08-01T00:00:00"", ""revenue"": 985414.28, ""active_customers"": 6310, ""business_pattern"": ""Revenue Down / Customers Up""}"
9,"Delivery Performance",1,"{""delivered_orders"": 96470, ""median_delivery_days"": 10.22, ""average_delivery_days"": 12.56, ""maximum_delivery_days"": 209.63, ""minimum_delivery_days"": 0.53, ""third_quartile_delivery_days"": 15.72}"
10,"Delivery Performance by State",1,"{""state"": ""RR"", ""delivered_orders"": 41, ""average_delivery_days"": 29.39}"
10,"Delivery Performance by State",2,"{""state"": ""AP"", ""delivered_orders"": 67, ""average_delivery_days"": 27.19}"
10,"Delivery Performance by State",3,"{""state"": ""AM"", ""delivered_orders"": 145, ""average_delivery_days"": 26.43}"
10,"Delivery Performance by State",4,"{""state"": ""AL"", ""delivered_orders"": 397, ""average_delivery_days"": 24.54}"
10,"Delivery Performance by State",5,"{""state"": ""PA"", ""delivered_orders"": 946, ""average_delivery_days"": 23.77}"
10,"Delivery Performance by State",6,"{""state"": ""MA"", ""delivered_orders"": 717, ""average_delivery_days"": 21.57}"
10,"Delivery Performance by State",7,"{""state"": ""SE"", ""delivered_orders"": 335, ""average_delivery_days"": 21.52}"
10,"Delivery Performance by State",8,"{""state"": ""CE"", ""delivered_orders"": 1279, ""average_delivery_days"": 21.27}"
10,"Delivery Performance by State",9,"{""state"": ""AC"", ""delivered_orders"": 80, ""average_delivery_days"": 21.04}"
10,"Delivery Performance by State",10,"{""state"": ""PB"", ""delivered_orders"": 517, ""average_delivery_days"": 20.43}"
10,"Delivery Performance by State",11,"{""state"": ""PI"", ""delivered_orders"": 476, ""average_delivery_days"": 19.46}"
10,"Delivery Performance by State",12,"{""state"": ""RO"", ""delivered_orders"": 243, ""average_delivery_days"": 19.37}"
10,"Delivery Performance by State",13,"{""state"": ""BA"", ""delivered_orders"": 3256, ""average_delivery_days"": 19.34}"
10,"Delivery Performance by State",14,"{""state"": ""RN"", ""delivered_orders"": 474, ""average_delivery_days"": 19.28}"
10,"Delivery Performance by State",15,"{""state"": ""PE"", ""delivered_orders"": 1593, ""average_delivery_days"": 18.45}"
10,"Delivery Performance by State",16,"{""state"": ""MT"", ""delivered_orders"": 886, ""average_delivery_days"": 18.06}"
10,"Delivery Performance by State",17,"{""state"": ""TO"", ""delivered_orders"": 274, ""average_delivery_days"": 17.66}"
10,"Delivery Performance by State",18,"{""state"": ""ES"", ""delivered_orders"": 1995, ""average_delivery_days"": 15.79}"
10,"Delivery Performance by State",19,"{""state"": ""MS"", ""delivered_orders"": 701, ""average_delivery_days"": 15.62}"
10,"Delivery Performance by State",20,"{""state"": ""GO"", ""delivered_orders"": 1957, ""average_delivery_days"": 15.61}"
10,"Delivery Performance by State",21,"{""state"": ""RJ"", ""delivered_orders"": 12350, ""average_delivery_days"": 15.31}"
10,"Delivery Performance by State",22,"{""state"": ""RS"", ""delivered_orders"": 5344, ""average_delivery_days"": 15.30}"
10,"Delivery Performance by State",23,"{""state"": ""SC"", ""delivered_orders"": 3546, ""average_delivery_days"": 14.95}"
10,"Delivery Performance by State",24,"{""state"": ""DF"", ""delivered_orders"": 2080, ""average_delivery_days"": 12.97}"
10,"Delivery Performance by State",25,"{""state"": ""MG"", ""delivered_orders"": 11354, ""average_delivery_days"": 12.01}"
10,"Delivery Performance by State",26,"{""state"": ""PR"", ""delivered_orders"": 4923, ""average_delivery_days"": 11.99}"
10,"Delivery Performance by State",27,"{""state"": ""SP"", ""delivered_orders"": 40494, ""average_delivery_days"": 8.76}"
11,"Delivery Performance vs Customer Satisfaction",1,"{""orders"": 13374, ""delivery_band"": ""Under 5 Days"", ""average_review_score"": 4.45, ""average_delivery_days"": 3.38}"
11,"Delivery Performance vs Customer Satisfaction",2,"{""orders"": 32885, ""delivery_band"": ""5-10 Days"", ""average_review_score"": 4.36, ""average_delivery_days"": 7.48}"
11,"Delivery Performance vs Customer Satisfaction",3,"{""orders"": 23470, ""delivery_band"": ""10-15 Days"", ""average_review_score"": 4.27, ""average_delivery_days"": 12.27}"
11,"Delivery Performance vs Customer Satisfaction",4,"{""orders"": 26095, ""delivery_band"": ""15+ Days"", ""average_review_score"": 3.65, ""average_delivery_days"": 23.77}"
12,"Seller Performance Distribution",1,"{""sellers"": 84, ""seller_category"": ""Elite Seller"", ""seller_percentage"": 6.79}"
12,"Seller Performance Distribution",2,"{""sellers"": 298, ""seller_category"": ""High Performer"", ""seller_percentage"": 24.07}"
12,"Seller Performance Distribution",3,"{""sellers"": 338, ""seller_category"": ""Strong Performer"", ""seller_percentage"": 27.30}"
12,"Seller Performance Distribution",4,"{""sellers"": 353, ""seller_category"": ""Average Performer"", ""seller_percentage"": 28.51}"
12,"Seller Performance Distribution",5,"{""sellers"": 165, ""seller_category"": ""Needs Improvement"", ""seller_percentage"": 13.33}"
13,"Seller Performance vs Revenue Contribution",1,"{""seller"": ""7a67c85e85bb2ce8582c35f2203ad736"", ""sales_value"": 160278.52, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1145, ""average_review_score"": 4.28, ""on_time_delivery_rate"": 94.06, ""seller_performance_score"": 95.57}"
13,"Seller Performance vs Revenue Contribution",2,"{""seller"": ""a1043bafd471dff536d0c462352beb48"", ""sales_value"": 130412.74, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 702, ""average_review_score"": 4.28, ""on_time_delivery_rate"": 94.30, ""seller_performance_score"": 95.31}"
13,"Seller Performance vs Revenue Contribution",3,"{""seller"": ""7e93a43ef30c4f03f38b393420bc753a"", ""sales_value"": 171973.55, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 319, ""average_review_score"": 4.36, ""on_time_delivery_rate"": 94.36, ""seller_performance_score"": 95.21}"
13,"Seller Performance vs Revenue Contribution",4,"{""seller"": ""53243585a1d6dc2643021fd1853d8905"", ""sales_value"": 230797.02, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 348, ""average_review_score"": 4.19, ""on_time_delivery_rate"": 95.69, ""seller_performance_score"": 95.04}"
13,"Seller Performance vs Revenue Contribution",5,"{""seller"": ""da8622b14eb17ae2831f4ac5b9dab84a"", ""sales_value"": 184706.78, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1311, ""average_review_score"": 4.18, ""on_time_delivery_rate"": 92.37, ""seller_performance_score"": 94.99}"
13,"Seller Performance vs Revenue Contribution",6,"{""seller"": ""fa1c13f2614d7b5c4749cbc52fecda94"", ""sales_value"": 200833.50, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 578, ""average_review_score"": 4.37, ""on_time_delivery_rate"": 89.79, ""seller_performance_score"": 94.97}"
13,"Seller Performance vs Revenue Contribution",7,"{""seller"": ""46dc3b2cc0980fb8ec44634e21d2718e"", ""sales_value"": 134162.88, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 503, ""average_review_score"": 4.27, ""on_time_delivery_rate"": 93.44, ""seller_performance_score"": 94.96}"
13,"Seller Performance vs Revenue Contribution",8,"{""seller"": ""f8db351d8c4c4c22c6835c19a46f01b0"", ""sales_value"": 62487.02, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 659, ""average_review_score"": 4.26, ""on_time_delivery_rate"": 94.84, ""seller_performance_score"": 94.96}"
13,"Seller Performance vs Revenue Contribution",9,"{""seller"": ""cc419e0650a3c5ba77189a1882b7556a"", ""sales_value"": 125936.99, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1651, ""average_review_score"": 4.16, ""on_time_delivery_rate"": 93.88, ""seller_performance_score"": 94.93}"
13,"Seller Performance vs Revenue Contribution",10,"{""seller"": ""955fee9216a65b617aa5c0531780ce60"", ""sales_value"": 156606.48, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1261, ""average_review_score"": 4.20, ""on_time_delivery_rate"": 92.23, ""seller_performance_score"": 94.90}"
13,"Seller Performance vs Revenue Contribution",11,"{""seller"": ""3d871de0142ce09b7081e2b9d1733cb1"", ""sales_value"": 115515.65, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1064, ""average_review_score"": 4.19, ""on_time_delivery_rate"": 94.08, ""seller_performance_score"": 94.89}"
13,"Seller Performance vs Revenue Contribution",12,"{""seller"": ""c3cfdc648177fdbbbb35635a37472c53"", ""sales_value"": 49127.81, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 278, ""average_review_score"": 4.47, ""on_time_delivery_rate"": 97.48, ""seller_performance_score"": 94.85}"
13,"Seller Performance vs Revenue Contribution",13,"{""seller"": ""de722cd6dad950a92b7d4f82673f8833"", ""sales_value"": 64776.59, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 337, ""average_review_score"": 4.30, ""on_time_delivery_rate"": 95.55, ""seller_performance_score"": 94.79}"
13,"Seller Performance vs Revenue Contribution",14,"{""seller"": ""37be5a7c751166fbc5f8ccba4119e043"", ""sales_value"": 60756.76, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 269, ""average_review_score"": 4.31, ""on_time_delivery_rate"": 97.40, ""seller_performance_score"": 94.65}"
13,"Seller Performance vs Revenue Contribution",15,"{""seller"": ""620c87c171fb2a6dd6e8bb4dec959fc6"", ""sales_value"": 126278.18, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 722, ""average_review_score"": 4.31, ""on_time_delivery_rate"": 90.03, ""seller_performance_score"": 94.57}"
13,"Seller Performance vs Revenue Contribution",16,"{""seller"": ""6560211a19b47992c3666cc44a7e94c0"", ""sales_value"": 148050.94, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1819, ""average_review_score"": 3.98, ""on_time_delivery_rate"": 93.57, ""seller_performance_score"": 94.35}"
13,"Seller Performance vs Revenue Contribution",17,"{""seller"": ""dbc22125167c298ef99da25668e1011f"", ""sales_value"": 40616.55, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 394, ""average_review_score"": 4.32, ""on_time_delivery_rate"": 97.46, ""seller_performance_score"": 94.28}"
13,"Seller Performance vs Revenue Contribution",18,"{""seller"": ""4869f7a5dfa277a7dca6462dcf3b52b2"", ""sales_value"": 247007.06, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1124, ""average_review_score"": 4.15, ""on_time_delivery_rate"": 88.43, ""seller_performance_score"": 94.13}"
13,"Seller Performance vs Revenue Contribution",19,"{""seller"": ""7299e27ed73d2ad986de7f7c77d919fa"", ""sales_value"": 40911.93, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 335, ""average_review_score"": 4.43, ""on_time_delivery_rate"": 95.22, ""seller_performance_score"": 94.08}"
13,"Seller Performance vs Revenue Contribution",20,"{""seller"": ""1f50f920176fa81dab994f9023523100"", ""sales_value"": 141712.94, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1399, ""average_review_score"": 4.14, ""on_time_delivery_rate"": 89.42, ""seller_performance_score"": 94.06}"
13,"Seller Performance vs Revenue Contribution",21,"{""seller"": ""e9779976487b77c6d4ac45f75ec7afe9"", ""sales_value"": 52211.30, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 645, ""average_review_score"": 4.26, ""on_time_delivery_rate"": 92.71, ""seller_performance_score"": 94.03}"
13,"Seller Performance vs Revenue Contribution",22,"{""seller"": ""fe2032dab1a61af8794248c8196565c9"", ""sales_value"": 70400.60, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 293, ""average_review_score"": 4.39, ""on_time_delivery_rate"": 91.13, ""seller_performance_score"": 93.96}"
13,"Seller Performance vs Revenue Contribution",23,"{""seller"": ""4d6d651bd7684af3fffabd5f08d12e5a"", ""sales_value"": 50785.76, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 363, ""average_review_score"": 4.23, ""on_time_delivery_rate"": 95.32, ""seller_performance_score"": 93.93}"
13,"Seller Performance vs Revenue Contribution",24,"{""seller"": ""8581055ce74af1daba164fdbd55a40de"", ""sales_value"": 73473.98, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 380, ""average_review_score"": 4.31, ""on_time_delivery_rate"": 89.74, ""seller_performance_score"": 93.81}"
13,"Seller Performance vs Revenue Contribution",25,"{""seller"": ""1025f0e2d44d7041d6cf58b6550e0bfa"", ""sales_value"": 171924.96, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 910, ""average_review_score"": 4.01, ""on_time_delivery_rate"": 89.89, ""seller_performance_score"": 93.57}"
13,"Seller Performance vs Revenue Contribution",26,"{""seller"": ""edb1ef5e36e0c8cd84eb3c9b003e486d"", ""sales_value"": 83031.14, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 165, ""average_review_score"": 4.44, ""on_time_delivery_rate"": 92.12, ""seller_performance_score"": 93.49}"
13,"Seller Performance vs Revenue Contribution",27,"{""seller"": ""87142160b41353c4e5fca2360caf6f92"", ""sales_value"": 38314.31, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 305, ""average_review_score"": 4.41, ""on_time_delivery_rate"": 94.43, ""seller_performance_score"": 93.47}"
13,"Seller Performance vs Revenue Contribution",28,"{""seller"": ""cca3071e3e9bb7d12640c9fbe2301306"", ""sales_value"": 77188.55, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 699, ""average_review_score"": 3.88, ""on_time_delivery_rate"": 94.13, ""seller_performance_score"": 93.47}"
13,"Seller Performance vs Revenue Contribution",29,"{""seller"": ""d91fb3b7d041e83b64a00a3edfb37e4f"", ""sales_value"": 48984.45, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 524, ""average_review_score"": 4.14, ""on_time_delivery_rate"": 93.70, ""seller_performance_score"": 93.47}"
13,"Seller Performance vs Revenue Contribution",30,"{""seller"": ""5dceca129747e92ff8ef7a997dc4f8ca"", ""sales_value"": 124702.92, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 322, ""average_review_score"": 4.01, ""on_time_delivery_rate"": 93.79, ""seller_performance_score"": 93.43}"
13,"Seller Performance vs Revenue Contribution",31,"{""seller"": ""218d46b86c1881d022bce9c68a7d4b15"", ""sales_value"": 61162.94, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 382, ""average_review_score"": 4.19, ""on_time_delivery_rate"": 90.58, ""seller_performance_score"": 93.30}"
13,"Seller Performance vs Revenue Contribution",32,"{""seller"": ""ccc4bbb5f32a6ab2b7066a4130f114e3"", ""sales_value"": 78101.34, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 184, ""average_review_score"": 4.32, ""on_time_delivery_rate"": 92.39, ""seller_performance_score"": 93.24}"
13,"Seller Performance vs Revenue Contribution",33,"{""seller"": ""9f505651f4a6abe901a56cdc21508025"", ""sales_value"": 31862.59, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 393, ""average_review_score"": 4.37, ""on_time_delivery_rate"": 94.91, ""seller_performance_score"": 93.23}"
13,"Seller Performance vs Revenue Contribution",34,"{""seller"": ""4a3ca9315b744ce9f8e9374361493884"", ""sales_value"": 231220.43, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1772, ""average_review_score"": 3.85, ""on_time_delivery_rate"": 89.00, ""seller_performance_score"": 93.13}"
13,"Seller Performance vs Revenue Contribution",35,"{""seller"": ""b2ba3715d723d245138f291a6fe42594"", ""sales_value"": 55596.65, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 324, ""average_review_score"": 4.20, ""on_time_delivery_rate"": 91.05, ""seller_performance_score"": 93.09}"
13,"Seller Performance vs Revenue Contribution",36,"{""seller"": ""17e34d8224d27a541263c4c64b11a56b"", ""sales_value"": 59530.49, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 247, ""average_review_score"": 4.25, ""on_time_delivery_rate"": 91.50, ""seller_performance_score"": 93.06}"
13,"Seller Performance vs Revenue Contribution",37,"{""seller"": ""53e4c6e0f4312d4d2107a8c9cddf45cd"", ""sales_value"": 39283.93, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 463, ""average_review_score"": 4.14, ""on_time_delivery_rate"": 94.60, ""seller_performance_score"": 92.99}"
13,"Seller Performance vs Revenue Contribution",38,"{""seller"": ""7d13fca15225358621be4086e1eb0964"", ""sales_value"": 120934.47, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 558, ""average_review_score"": 4.04, ""on_time_delivery_rate"": 87.81, ""seller_performance_score"": 92.86}"
13,"Seller Performance vs Revenue Contribution",39,"{""seller"": ""ceaec5548eefc6e23e6607c5435102e7"", ""sales_value"": 57653.73, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 198, ""average_review_score"": 4.20, ""on_time_delivery_rate"": 93.94, ""seller_performance_score"": 92.84}"
13,"Seller Performance vs Revenue Contribution",40,"{""seller"": ""ea8482cd71df3c1969d7b9473ff13abc"", ""sales_value"": 53988.63, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 1132, ""average_review_score"": 4.03, ""on_time_delivery_rate"": 89.58, ""seller_performance_score"": 92.78}"
13,"Seller Performance vs Revenue Contribution",41,"{""seller"": ""0241d4d5d36f10f80c644447315af0bd"", ""sales_value"": 38251.61, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 238, ""average_review_score"": 4.33, ""on_time_delivery_rate"": 94.12, ""seller_performance_score"": 92.75}"
13,"Seller Performance vs Revenue Contribution",42,"{""seller"": ""a3a38f4affed601eb87a97788c949667"", ""sales_value"": 31479.28, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 251, ""average_review_score"": 4.40, ""on_time_delivery_rate"": 95.22, ""seller_performance_score"": 92.75}"
13,"Seller Performance vs Revenue Contribution",43,"{""seller"": ""7ddcbb64b5bc1ef36ca8c151f6ec77df"", ""sales_value"": 62202.75, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 325, ""average_review_score"": 4.02, ""on_time_delivery_rate"": 91.38, ""seller_performance_score"": 92.72}"
13,"Seller Performance vs Revenue Contribution",44,"{""seller"": ""c70c1b0d8ca86052f45a432a38b73958"", ""sales_value"": 40190.56, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 260, ""average_review_score"": 4.37, ""on_time_delivery_rate"": 91.54, ""seller_performance_score"": 92.65}"
13,"Seller Performance vs Revenue Contribution",45,"{""seller"": ""850f4f8af5ea87287ac68de36e29107f"", ""sales_value"": 48382.72, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 186, ""average_review_score"": 4.30, ""on_time_delivery_rate"": 93.55, ""seller_performance_score"": 92.53}"
13,"Seller Performance vs Revenue Contribution",46,"{""seller"": ""c826c40d7b19f62a09e2d7c5e7295ee2"", ""sales_value"": 50096.67, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 346, ""average_review_score"": 4.13, ""on_time_delivery_rate"": 90.46, ""seller_performance_score"": 92.50}"
13,"Seller Performance vs Revenue Contribution",47,"{""seller"": ""1554a68530182680ad5c8b042c3ab563"", ""sales_value"": 35714.56, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 246, ""average_review_score"": 4.34, ""on_time_delivery_rate"": 93.09, ""seller_performance_score"": 92.40}"
13,"Seller Performance vs Revenue Contribution",48,"{""seller"": ""391fc6631aebcf3004804e51b40bcf1e"", ""sales_value"": 49559.14, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 521, ""average_review_score"": 4.04, ""on_time_delivery_rate"": 89.64, ""seller_performance_score"": 92.31}"
13,"Seller Performance vs Revenue Contribution",49,"{""seller"": ""85d9eb9ddc5d00ca9336a2219c97bb13"", ""sales_value"": 23539.91, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 499, ""average_review_score"": 4.23, ""on_time_delivery_rate"": 96.39, ""seller_performance_score"": 92.26}"
13,"Seller Performance vs Revenue Contribution",50,"{""seller"": ""77530e9772f57a62c906e1c21538ab82"", ""sales_value"": 53951.31, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 312, ""average_review_score"": 4.15, ""on_time_delivery_rate"": 88.46, ""seller_performance_score"": 92.14}"
13,"Seller Performance vs Revenue Contribution",51,"{""seller"": ""12b9676b00f60f3b700e83af21824c0e"", ""sales_value"": 29901.67, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 133, ""average_review_score"": 4.53, ""on_time_delivery_rate"": 98.50, ""seller_performance_score"": 92.05}"
13,"Seller Performance vs Revenue Contribution",52,"{""seller"": ""4e922959ae960d389249c378d1c939f5"", ""sales_value"": 52485.60, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 412, ""average_review_score"": 3.96, ""on_time_delivery_rate"": 89.32, ""seller_performance_score"": 91.96}"
13,"Seller Performance vs Revenue Contribution",53,"{""seller"": ""c003204e1ab016dfa150abc119207b24"", ""sales_value"": 29618.46, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 195, ""average_review_score"": 4.47, ""on_time_delivery_rate"": 93.33, ""seller_performance_score"": 91.92}"
13,"Seller Performance vs Revenue Contribution",54,"{""seller"": ""7142540dd4c91e2237acb7e911c4eba2"", ""sales_value"": 44025.68, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 316, ""average_review_score"": 4.05, ""on_time_delivery_rate"": 91.77, ""seller_performance_score"": 91.88}"
13,"Seller Performance vs Revenue Contribution",55,"{""seller"": ""7178f9f4dd81dcef02f62acdf8151e01"", ""sales_value"": 41180.44, ""seller_category"": ""Elite Seller"", ""delivered_orders"": 202, ""average_review_score"": 4.06, ""on_time_delivery_rate"": 95.05, ""seller_performance_score"": 91.76}"
